SKU;COG
UZOEW1886X;346,7875736
DPORM4776E;419,8684211
XAFJT6358C;335,4714715
QCTQF5950P;343,5408759
NAMOI4794J;346,1981343
POQIF1061Y;346,2010632
LBYRK3210F;256,1396146
NGQUS1037E;278,1233278
WROWK7800P;780,4590909
DBLZM3983G;361,2982759
GJPAU9999K;1098,914286
RSBFE6732F;1098,914286
WWYOP5254B;2271,908571
SOTBF2468E;666,4518349
GIIEM6451B;1135,762981
KEEFA2365D;2717,048276
XDPQQ4206D;158145
CZXWI6254B;7092,347826
BOHWZ3761X;3143,866667
AKVXP8024D;1949,205192
TECOR4956T;662,9417879
EXNQO8141R;592,0988185
FUVIQ2852X;1235
BJRCP5992Y;517,3133462
TZFPI5314M;432,8192308
NFNDW9766R;972,7301587
RNTTL5672R;1999,207792
SUBTG4465W;1319,4
TNAQZ6971G;432,1685393
TRVBJ7183U;584,2142857
OOZJX4610S;452,2
VKCUW6005W;482,1153846
BAHLV7542W;211,8684943
BICVK0143J;204,8848849
CHQAJ8517T;205,4138146
BDDKJ2718S;226,9314587
DVNEP6353I;606,5013477
XONYC6808M;709,7575758
JFFIH8554T;184,2423398
BVWZQ4527T;206,0204082
HGUQJ6495G;206,0207039
ZSJXP1778J;206,02
UJVMB1308P;206,0189125
IDWKQ3297Q;552,9693333
OXUZG7056Y;552,9693333
VEXHS1870O;16790,5
CTUSI1318L;168,7696675
NDSLQ9632I;185,9406786
XPLAZ8338C;170,6600862
WIYIA2166C;170,6600862
UVRPM1621K;174,5515191
TLBZD2653B;181,226227
BYGLD8210V;895,2040816
OUWIT5106U;780,788269
JQSKQ1819K;736,5820745
TLZZI4052R;736,5820745
JRXHE3353O;422,4444444
WYIHB4110I;380,75
XZLOV1101Q;522,7083333
OSYIN6475K;1211,87468
MXTFM5644K;1409,219512
RWOIF7238E;771,1033386
NWYTV0482G;598,8603207
KSSWI3940M;605,1442441
EDCEW7044F;598,2024879
MUOIM0549A;385,125
RWGSP7881A;465,7709677
EGHJX4411Q;1589,5
UVNGZ6076E;629,2686916
YASEG5100R;633,1451398
UUMGL0247O;411,9374447
KPUWF5783U;411,9374447
CYORY8650R;405,6169052
PPVBU1203Q;402,81
TDAOU6397Z;264,1779186
HTQKB6697Z;211,4878896
WABDG2809X;211,4878896
MRUEM9028J;217,9232
FNOKE8380A;651,864
AONBK9840Q;821,8636364
AIAZI4473Q;141,1586826
XWHKF9965T;140,6904223
TKRZP9431G;1061,903226
UIRSD5858L;4217,5
QQQYQ3086C;1118,121951
MALXA1409D;908,7761675
HSPZO6268Y;873,8568353
NNJLS6904A;171,3100775
PXSVI8581K;168,7600604
GCSXA0189C;178,6652614
UGMIQ8340K;181,4482072
WMCBY7316E;194,9732694
HNBYV9602Z;174,8596966
REDCZ8656F;940,27388
XTKEP6280F;853
CEPRU9192C;344,1585714
JBDXR1266U;607,0256739
XZOBE6361B;576,5237037
OBCVI7265A;750,2769517
PXUKD4937E;1712,008511
UXIML0754U;3464,764706
JAMIQ3616W;326,410278
DRDGH6817X;1376,410256
ZYURY8511D;1376,410256
FJIXG2224O;558,4100418
NVCGG5770E;558,4100418
ACQIR4088A;800,6764706
DYPTG4479D;3187,771429
UAEEM9752V;980,6187845
NJBCV8164J;1499,623596
JQVMF4844J;3165,59375
HGWRT0854F;439,7622509
RXUAW5727R;573,9057592
RLGAR2741X;1376,125
CYALD7829Z;570,0192308
TAGMR1005Y;505,6104651
SGFJV1160F;412,668859
HJQJR3247E;412,668859
AOHJE6310X;467,7185363
TUTDK7805V;540,318555
NRWKZ1081A;611,631068
FLSBD7610B;210,2758933
DTVCD8584C;211,9156091
PJYGH0748R;364,0974125
YNBSW1740L;547,5538462
TNFGL6196Y;2082,8966
PGLSL3742U;667,4530387
RWBBH6311K;662,0777577
