Sales RUB;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17
UZOEW1886X;564810,15;2531,64;148405,81;413257,73;435465,22;128704,27
DPORM4776E;294038,6;342598,66;197697;253061,25;53293,5;11651,25
XAFJT6358C;167312,28;63861,81;50245,59;172336,68;254963,7;207108,34
QCTQF5950P;207964,06;111784,4;79124,5;131131,83;211381,23;184343,24
NAMOI4794J;159621,25;140369,75;87421,2;123414,58;159649,1;233421,27
POQIF1061Y;369725,75;0;136450,2;287786,38;346564,73;16135,25
LBYRK3210F;81189,68;62422,58;74592,76;93592,51;54062,69;142221,53
NGQUS1037E;169890,88;105157,14;159345,89;156350,73;164176,43;256774,93
WROWK7800P;8006,25;4837,5;81150;52950;0;0
DBLZM3983G;127200;69600;28800;60000;93600;19200
GJPAU9999K;2287,5;0;0;0;0;0
RSBFE6732F;2550;4575;4575;2287,5;8212,5;9150
WWYOP5254B;53044;30402,4;81452,8;65290,4;64934,4;237736,8
SOTBF2468E;52506;34308;7776;0;0;0
GIIEM6451B;628962,27;1452582,44;1558056,25;970195,84;1799130,87;1792915,89
KEEFA2365D;103667;75613;73953;0;172151,75;137365
XDPQQ4206D;150500;0;0;0;0;0
CZXWI6254B;42109,5;0;28282,5;55098,5;66202;117320
BOHWZ3761X;31137,2;26992;0;0;98617,2;12628,4
AKVXP8024D;242490;201249;323733;287035;407041;632303
TECOR4956T;38968,3;63741,9;45591,3;51158,2;53198,8;23681,7
EXNQO8141R;130529,6;36781,6;67546,4;131155,2;158092,8;48341,56
FUVIQ2852X;-1284,82;0;0;0;0;0
BJRCP5992Y;24608,38;48308,11;46116,66;52530,66;27879,52;34154,55
TZFPI5314M;11543,16;19391,43;9574,35;18645,26;24758,46;2211,54
NFNDW9766R;22567,3;0;0;0;0;47169,1
RNTTL5672R;44803,2;0;0;0;0;0
SUBTG4465W;39130;91504;35346;37324;12083;124485
TNAQZ6971G;5840,52;550,7;1396,14;6608,4;3304,2;26433,6
TRVBJ7183U;5463,48;0;718,34;2155,02;0;0
OOZJX4610S;4648,44;0;0;3667,08;0;0
VKCUW6005W;6422,01;4238,71;605,53;3633,18;0;0
BAHLV7542W;145050,16;127022,32;156322,75;366099,84;159794,38;815792,65
BICVK0143J;62354,29;42918,82;120546,95;262010,58;101411,52;569591,25
CHQAJ8517T;48705,92;20866,21;9537,27;27997,98;12951,6;108634,64
BDDKJ2718S;60316,11;39541,94;44801,61;30581,64;46214,04;163979,35
DVNEP6353I;5189,82;5189,82;5189,82;2047,11;0;54081,44
XONYC6808M;3108;13675,2;28800,8;5615,12;1554;0
JFFIH8554T;49245,6;21148;26282;39528,4;47355,2;0
BVWZQ4527T;24282,8;18774,8;28580,4;28233,6;42629,2;14980,4
HGUQJ6495G;5535,2;11063,6;15565,2;24514;24922;36599,38
ZSJXP1778J;19352,8;50857,2;29852;0;0;0
UJVMB1308P;21311,2;4202,4;5168;11913,6;46607,2;28879,6
IDWKQ3297Q;8040;0;0;0;0;3065,25
