ПРОДАЖИ РУБ;янв.18;фев.18;мар.18;апр.18
075 КАРАТИ ПИНО ГРИДЖИО, белое, брют, 0.75л., , 12%;273867,06;101744,8;327913,17;257200,37
075 КАРАТИ РОЗЕ КЮВЕ, розовое, сухое, 0.75л., , 12%;200936;53382,06;102718,52;285473,2
12 Э МЕЦЦО МАЛЬВАЗИЯ, белое, полусухое, 0.75л., 2016, 12,5%;60670,75;47568,93;68206,9;84749,84
12 Э МЕЦЦО НЕГРОАМАРО, красное, полусухое, 0.75л., 2015, 12,5%;35663,75;216021,06;279506,77;270073,24
АЛАЗАНСКАЯ ДОЛИНА БАДАГОНИ, белое, полусладкое, 0.75л., , 12%;44133,09;57987,32;46705,78;59012,35
АЛАЗАНСКАЯ ДОЛИНА БАДАГОНИ, красное, полусладкое, 0.75л., , 12%;93268,14;149826,48;60055,21;184764,29
АЛЕНЬКИЙ ЦВЕТОЧЕК ОДЕССКИЙ ЧЁРНЫЙ, красное, сухое. 0.75л, 2015, 13%;31200;120000;12000;84000
АМАРОНЕ ДЕЛЛА ВАЛЬПОЛИЧЕЛЛА  КА'РУГАТЕ, красное, полусухое, 0.375л., 2013, 15%;23550;0;2287,5;7200
АМАРОНЕ ДЕЛЛА ВАЛЬПОЛИЧЕЛЛА  КА'РУГАТЕ, красное, полусухое, 0.75л., 2013, 15%;62300;4984;39943,2;28195,2
АРЗУАГА КРИАНСА, красное, сухое, 0.75л., 2014, 14,5%;930571,22;149045,25;5379,57;0
АРЗУАГА КРИАНСА, красное, сухое, 1.5л., 2013, 14,5%;5063;-45381,83;28718;17015
АРЗУАГА КРИАНСА, красное, сухое, 3л., 2013, 14,5%;27444,5;-115220,38;13617,5;39312,06
АРЗУАГА РЕЗЕРВА ЭСПЕСИАЛЬ, красное, сухое, 0.75л., 2011, 14,5%;53309,2;-29112,8;40512,58;89115,18
АРЗУАГА РЕЗЕРВА, красное, сухое, 0.75л., 2011, 15%;78099,8;203050,22;128615,37;406934,65
АРЗУАГА РОСАЕ розовое, сухое, 0.75л., 2015, 13%;0;2183,8;-4745;2506
АРИЯ КЬЯНТИ КЛАССИКО, красное, сухое, 0.75л., 2014, 13,5%;0;-23379,58;21822,4;9568
БАДАГОНИ БРЮТ, белое, брют, 0.75л., , 12,5%;0;83667,5;37864,75;19267,09
БАДАГОНИ РОЗЕ, игристое, розовое, полусладкое, 0.75л., , 11%;0;26763,21;30699,27;8111,88
БАРОЛО МАРЧЕНАСКО РЕНАТО РАТТИ, красное, сухое, 0.375л., 2011, 14,5%;20501,5;-13179,94;23162;-14121,86
БАРОЛО МАРЧЕНАСКО РЕНАТО РАТТИ, красное, сухое, 0.75л., 2012, 14%;0;0;-3806,4;0
БЕЛОНДРАДЕ И ЛУРТОН, белое, сухое, 0.75л., 2015, 14%;79722;11784,52;-32171,57;93800,71
БОСКА АННИВЕРСАРИ , белый, полусладкий , белая этикетка, 0.75л., 7.5 %;43840,44;149023,42;179929,65;80251,92
БОСКА АННИВЕРСАРИ ,белый, сладкое, золотая этикетка, 0.75л., 7.5%;30126,1;66161,13;35981,85;44183,79
БОСКА АННИВЕРСАРИ, белый, полусладкое, зеленая этикетка, 0.75л., , 7,5%;18295,2;38435,11;1120;21344,4
БОСКА РОЗЕ, розовый, полусладкий, 0.75л., 7.5%;22869;35567,08;0;24393,6
БУРГОНЬ ШАРДОНЕ КОЛЕН-БУРИССЕ, белое, сухое, 0.75л., 2014, 13%;30143,42;55980,76;59721,04;45932,96
БУРГОНЬ ШАРДОНЕ, белое, сухое, 0.75л., 2014, 12,5%;0;-45347,74;0;12639,2
ВАЛЛЕ ДОРАДО КАРМЕНЕР, красное, сухое, 0.75л, 2015, 13%;0;-15762,4;4923,2;10805,2
ВАЛЛЕ ДОРАДО СИРА, красное, полусухое, 0.75л, 2015, 13%;8660,67;7004;16870,8;30897,33
ВАЛЛЕ ДОРАДО СОВИНЬОН БЛАН, белое, полусухое, 0.75л., 2016, 13%;0;-10784,8;10825,6;-829,6
ВАЛЛЕ ДОРАДО ШАРДОННЕ, белое, полусухое, 0.75л., 2016, 13%;11441,87;2903,6;10642;4936,8
ВАЛЬПОЛИЧЕЛЛА РИО АЛЬБО КА'РУГАТЕ, красное, сухое, 0.75л., 2016, 12,5%;77368,26;23935,75;62315,59;56559,17
ВИЛЛА ЛУЧИА КАБЕРНЕ СОВИНЬОН, красное, сухое, 0.75л., 2016, 12,5%;15771,6;1975,18;3796;0
ВИЛЛА ЛУЧИА ТОСКАНА, белое, сухое, 0.75л., 2014, 12%;0;0;0;3955
ВИЛЛА ЛУЧИА ТОСКАНА, белое, сухое, 0.75л., 2015, 12%;0;-440,7;0;0
ВИЛЛА ЛУЧИА ТОСКАНА, красное, сухое, 0.75л., 2015, 12%;94812,65;150872,81;126888,15;187241,29
ВИЛЛА ЛУЧИА ШАРДОНЕ ДЕЛЛЕ ВЕНЕЦИЕ, белое, сухое, 0.75л., 2016, 12%;29498,8;406;0;0
ВИЛЬЯМОВКА ТАКОВО (П/У), 0.70л., , 40%;0;-1740,94;6278,8;26884,68
ВИЛЬЯМОВКА ТАКОВО, 0.70л., , 40%;0;33410,16;139891,68;98746,92
ВИНКЛ СОВИНЬОН ТЕРЛАНО, белое, сухое, 0.75л., 2016, 13,5%;85670,85;78732,41;153806,17;75398,25
ВИРТУС КРЕДО, белое, сухое, 0.75л., 2015, 14%;15343,8;5377,5;10324,8;0
ВИРТУС КРЕДО, красное, сухое, 0.75л., 2015, 13,5%;36059,4;37547,94;0;36108,64
ВИРТУС МАРСЕЛАН, красное, сухое, 0.75л., 2015, 13%;36149,1;69303,2;33005,7;89954,7
ВИРТУС ПИНО ГРИДЖО, белое, сухое, 0.75л., 2016, 13,5%;89572,79;108097,19;63932,4;66817,42
ВИРТУС ПРОКУПАЦ, красное, сухое, 0.75л., 2014, 12,5%;71775,6;115253,85;57830,7;0
ВИРТУС СОВИНЬОН БЛАН, белое, сухое, 0.75л., 2016, 13%;19221;35386,45;17505,3;37078,11
ГАЙОЛЕ ТОСКАНА, красное, сухое, 0.75л., 2015, 13%;13574,9;6991,3;18150,2;18482,4
ГЕВЮРЦТРАМИНЕР ТЕРЛАНО, белое, полусухое, 0.75л., 2016, 14,5%;117936,8;27992,7;111853;60390,2
ГУБЕРНАТОРСКОЕ ГОЛУБОК, красное, сухое, 0.75л., 2016, 11,5%;86912,86;53245,6;70492,3;115579,77
ГУБЕРНАТОРСКОЕ РИСЛИНГ, белое, сухое, 0.75л., , 12%;26051,26;5379,9;17079,8;23889,24
ГУБЕРНАТОРСКОЕ РКАЦИТЕЛИ, белое, сухое, 0.75л., 2014, 13%;5787,76;-213,3;5458,9;10341,1
ДАНТЕ ДИ ФЕРЕНЦА КЬЯНТИ РИЗЕРВА, красное, сухое, 0.75л., 2013, 12,5%;0;-1424;1085,8;0
ДАНТЕ ДИ ФЕРЕНЦА КЬЯНТИ, красное, сухое, 0.75л., 2015, 12%;98814,86;175990,62;159756,2;989075,43
ДАНТЕ ДИ ФЕРЕНЦА МАРЕММА ТОСКАНА, красное, сухое, 0.75л., 2015, 13%;142643,72;160666,04;246111,84;280955,56
ДОМДЕШАН ВЕРНЕР РИСЛИНГ КЛАССИК, белое, полусухое, 0.75л., 2012, 12%;4483,5;0;-3280,76;0
ДОН УГО ВИУРА, белое, сухое, 0.75л. , 2016, 12%;76373,34;46871,3;63181,95;83721,83
