Sales, units;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17
UZOEW1886X;1036;6;259;752;807;241
DPORM4776E;470;544;313;410;87;19
XAFJT6358C;321;116;92;337;487;418
QCTQF5950P;245;126;89;158;255;235
NAMOI4794J;182;148;93;135;182;279
POQIF1061Y;399;0;139;328;386;19
LBYRK3210F;222;172;209;268;156;397
NGQUS1037E;435;269;412;403;428;661
WROWK7800P;7;4;62;40;0;0
DBLZM3983G;318;174;72;150;234;48
GJPAU9999K;1;0;0;0;0;0
RSBFE6732F;1;2;2;1;3;4
WWYOP5254B;12;6;17;14;14;53
SOTBF2468E;39;22;6;0;0;0
GIIEM6451B;297;697;754;468;886;857
KEEFA2365D;18;13;14;0;30;25
XDPQQ4206D;1;0;0;0;0;0
CZXWI6254B;3;0;2;4;5;9
BOHWZ3761X;5;4;0;0;16;2
AKVXP8024D;60;48;74;72;104;160
TECOR4956T;34;55;34;43;46;20
EXNQO8141R;109;29;58;107;134;43
FUVIQ2852X;-1;0;0;0;0;0
BJRCP5992Y;34;67;62;75;40;46
TZFPI5314M;21;33;17;31;45;4
NFNDW9766R;10;0;0;0;0;22
RNTTL5672R;11;0;0;0;0;0
SUBTG4465W;14;32;12;13;4;44
TNAQZ6971G;9;1;2;12;6;48
TRVBJ7183U;6;0;1;3;0;0
OOZJX4610S;6;0;0;6;0;0
VKCUW6005W;9;7;1;6;0;0
BAHLV7542W;604;498;622;1561;650;3526
BICVK0143J;288;190;490;1176;439;2591
CHQAJ8517T;224;91;39;114;60;502
BDDKJ2718S;275;174;183;124;204;747
DVNEP6353I;6;6;6;3;0;79
XONYC6808M;2;9;22;4;1;0
JFFIH8554T;106;48;56;89;106;0
BVWZQ4527T;54;36;63;60;100;34
HGUQJ6495G;12;24;34;54;58;83
ZSJXP1778J;43;113;66;0;0;0
UJVMB1308P;50;9;12;27;108;67
IDWKQ3297Q;6;0;0;0;0;3
OXUZG7056Y;39;50;29;68;87;107
VEXHS1870O;1;0;0;0;0;0
CTUSI1318L;86;130;182;117;144;326
NDSLQ9632I;791;488;4;0;0;0
XPLAZ8338C;14;0;0;0;0;0
WIYIA2166C;928;1722;1042;1109;1414;256
UVRPM1621K;597;1120;765;1282;1622;2073
TLBZD2653B;199;288;475;217;444;520
BYGLD8210V;11;27;12;5;68;55
OUWIT5106U;73;59;71;102;232;0
JQSKQ1819K;1;0;0;0;0;0
TLZZI4052R;36;0;52;127;147;153
JRXHE3353O;1;1;0;3;7;0
WYIHB4110I;1;0;1;0;0;0
XZLOV1101Q;4;1;1;1;7;0
OSYIN6475K;23;13;58;41;162;28
MXTFM5644K;23;15;32;17;15;37
RWOIF7238E;34;47;56;32;82;87
