Sales, units;янв.18;фев.18;мар.18;апр.18
UZOEW1886X;498;170;564;495
DPORM4776E;0;0;0;0
XAFJT6358C;383;91;206;604
QCTQF5950P;73;54;79;96
NAMOI4794J;39;218;320;304
POQIF1061Y;0;0;0;0
LBYRK3210F;123;162;130;167
NGQUS1037E;241;384;154;473
WROWK7800P;0;0;0;0
DBLZM3983G;78;300;30;210
GJPAU9999K;0;0;0;0
RSBFE6732F;10;0;1;3
WWYOP5254B;14;1;8;6
SOTBF2468E;0;0;0;0
GIIEM6451B;455;71;3;0
KEEFA2365D;1;-9;5;3
XDPQQ4206D;0;0;0;0
CZXWI6254B;2;-9;1;3
BOHWZ3761X;8;-5;6;13
AKVXP8024D;19;44;31;103
TECOR4956T;0;2;-4;2
EXNQO8141R;0;-22;16;7
FUVIQ2852X;0;0;0;0
BJRCP5992Y;0;98;46;23
TZFPI5314M;0;40;46;12
NFNDW9766R;10;-7;11;-8
RNTTL5672R;0;0;-1;0
SUBTG4465W;28;3;-11;32
TNAQZ6971G;0;0;0;0
TRVBJ7183U;0;0;0;0
OOZJX4610S;0;0;0;0
VKCUW6005W;0;0;0;0
BAHLV7542W;162;566;665;300
BICVK0143J;116;274;146;171
CHQAJ8517T;72;163;5;84
BDDKJ2718S;90;150;0;96
DVNEP6353I;42;78;80;64
XONYC6808M;0;-36;0;10
JFFIH8554T;0;0;0;0
BVWZQ4527T;0;-38;10;24
HGUQJ6495G;20;16;33;65
ZSJXP1778J;0;-26;22;-2
UJVMB1308P;27;7;23;10
IDWKQ3297Q;0;0;0;0
OXUZG7056Y;71;20;55;53
VEXHS1870O;0;0;0;0
CTUSI1318L;45;6;10;0
NDSLQ9632I;0;0;0;0
XPLAZ8338C;0;0;0;10
WIYIA2166C;0;0;0;0
UVRPM1621K;254;392;334;457
TLBZD2653B;76;1;0;0
BYGLD8210V;0;-1;3;14
OUWIT5106U;0;9;78;54
JQSKQ1819K;0;0;0;0
TLZZI4052R;58;48;102;45
JRXHE3353O;0;0;0;0
WYIHB4110I;0;0;0;0
XZLOV1101Q;0;0;0;0
OSYIN6475K;9;3;6;0
MXTFM5644K;18;18;0;17
RWOIF7238E;33;57;27;72
NWYTV0482G;97;116;66;69
KSSWI3940M;77;124;62;0
EDCEW7044F;23;38;19;39
MUOIM0549A;0;0;0;0
RWGSP7881A;14;7;17;18
EGHJX4411Q;0;0;0;0
UVNGZ6076E;0;0;0;0
YASEG5100R;99;21;84;45
UUMGL0247O;0;0;0;0
KPUWF5783U;160;97;128;208
CYORY8650R;49;10;30;46
PPVBU1203Q;11;0;10;19
TDAOU6397Z;0;-2;2;0
HTQKB6697Z;0;0;0;0
WABDG2809X;220;366;361;2634
MRUEM9028J;308;328;519;578
FNOKE8380A;3;0;-2;0
AONBK9840Q;0;0;0;0
AIAZI4473Q;294;172;225;297
XWHKF9965T;350;359;381;441
TKRZP9431G;0;-15;0;14
UIRSD5858L;0;0;0;0
QQQYQ3086C;7;-9;7;9
MALXA1409D;6;-2;37;11
HSPZO6268Y;152;39;116;82
NNJLS6904A;103;104;99;164
PXSVI8581K;96;109;123;78
GCSXA0189C;0;0;0;0
UGMIQ8340K;0;0;0;0
WMCBY7316E;62;39;96;183
HNBYV9602Z;0;0;0;0
REDCZ8656F;62;20;55;155
XTKEP6280F;18;-35;18;20
CEPRU9192C;72;390;96;204
JBDXR1266U;92;32;93;104
XZOBE6361B;0;68;88;40
OBCVI7265A;9;10;1;27
PXUKD4937E;10;-6;16;4
UXIML0754U;0;0;0;0
JAMIQ3616W;1;5;0;0
DRDGH6817X;46;-12;7;5
ZYURY8511D;0;-14;0;6
FJIXG2224O;0;0;0;0
NVCGG5770E;0;0;0;0
ACQIR4088A;-6;0;0;29
DYPTG4479D;0;-5;0;4
UAEEM9752V;4;-9;0;1
NJBCV8164J;0;0;0;0
JQVMF4844J;0;0;0;0
HGWRT0854F;330;256;185;385
RXUAW5727R;0;-3;-18;20
RLGAR2741X;0;0;0;0
CYALD7829Z;0;0;0;0
TAGMR1005Y;0;0;-6;0
SGFJV1160F;0;0;0;0
HJQJR3247E;0;0;0;0
AOHJE6310X;0;0;0;0
TUTDK7805V;0;0;0;0
NRWKZ1081A;0;0;0;0
FLSBD7610B;0;0;0;0
DTVCD8584C;0;0;0;0
PJYGH0748R;18;132;30;108
YNBSW1740L;0;0;0;0
TNFGL6196Y;107;73;133;121
PGLSL3742U;96;81;50;3
RWBBH6311K;144;119;111;32
UPECP3215M;0;0;-1;0
KTHMS0697X;54;1;0;0
LPAXM8491O;40;59;56;65
OQKIC5873M;68;119;96;102
FNWHK6071J;0;0;0;0
KOPPW8098S;0;0;-1;0
KJCJJ1544Z;0;0;0;0
JHCKH6189A;7;2;1;4
DYESM6286I;371;465;662;1626
JBUEH3584W;0;0;0;0
RXRVC5351Q;0;0;0;0
GMZVR5022F;10;10;16;14
WOFYM1205P;0;0;0;0
GYWFG5619V;7;3;0;8
IMGPQ9671B;3;4;0;0
ADHDM4155G;233;238;105;0
TOZWG5908V;0;0;0;0
MFHWN6079P;1;0;0;0
YJKSY3605T;0;0;0;0
AVAIY0508R;0;-5;-6;2
ZEQKZ0260U;26;-4;-34;4
BESYS0466Q;0;0;0;0
WSXMH8974A;0;0;0;0
AWYTG5887A;0;0;-1;0
PUOGD6008E;5;-33;20;7
VFDDJ6215T;90;58;466;151
JRREN8634W;0;40;28;6
GQSFZ2277T;69;115;138;156
GUJAD7758G;199;139;379;172
TAFRJ5634B;27;43;29;16
RZLTM8117F;0;-3;3;0
XGPOK3258T;0;0;0;0
KEKLI8217I;169;387;168;471
ZKJQJ7664B;19;37;26;50
FJVML2744V;0;0;0;357
EMLZD8615D;0;0;0;0
IQZDY4978B;0;-2;1;0
ZQSUK2624A;107;112;109;187
QMTPU8156F;0;0;0;0
NYRMV0580R;233;105;233;265
KSDXG3996E;0;4;15;0
FVASR5283J;0;0;0;0
MJZIZ7509I;0;0;0;-4
GCVUY4877W;0;-3;3;0
XRCTU7489L;2;0;0;0
LSQGV7991K;0;-2;0;-4
GCCDE8091I;1;-6;6;0
JQXXD7080Z;35;71;50;37
ELMAI7546S;46;14;20;38
SARXE2003U;0;-5;1;0
QNIGA6246W;7;-67;24;20
FTLAH5997A;0;0;0;0
BQWAX4418Z;0;0;0;0
GVVGH9558A;34;24;49;35
HVBCM3741B;0;0;0;0
SQWCG1718H;93;54;94;86
FFPUX1034F;0;0;0;0
CHKKD8085E;0;0;0;0
BXMMN4771W;60;10;32;49
EIXUT7302G;0;0;0;0
GKCTY9312K;0;0;0;0
ZEALF0409C;0;0;0;0
SKMJH8241E;9;10;6;0
SUBOT1872Y;0;0;0;0
GOHGS2749P;175;124;151;166
WVIZJ6413R;0;0;0;0
WJMYK5294A;18;17;20;28
AZVNU3930C;0;0;0;0
DRPSY4481F;523;502;5;0
HOVZG9924G;0;-5;-1;3
ZDTZC9904P;112;208;211;472
