Stock;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17
UZOEW1886X;20;14;1813;1058;254;2680
DPORM4776E;788;243;541;116;24;2
XAFJT6358C;138;20;948;609;123;2496
QCTQF5950P;126;0;975;819;562;323
NAMOI4794J;184;32;644;507;325;39
POQIF1061Y;0;0;746;416;30;6
LBYRK3210F;120;98;91;153;194;35
NGQUS1037E;119;215;187;215;302;153
WROWK7800P;106;102;40;0;0;0
DBLZM3983G;184;112;40;34;64;16
GJPAU9999K;4;4;4;4;4;4
RSBFE6732F;47;45;43;42;39;35
WWYOP5254B;53;47;30;112;98;45
SOTBF2468E;29;6;0;0;0;0
GIIEM6451B;653;1449;679;203;1464;550
KEEFA2365D;27;14;0;0;30;3
CZXWI6254B;33;33;31;27;22;13
BOHWZ3761X;4;0;0;0;2;0
AKVXP8024D;184;316;240;168;187;29
TECOR4956T;226;164;125;74;29;2
EXNQO8141R;386;355;295;186;51;6
BJRCP5992Y;70;32;26;32;48;0
TZFPI5314M;20;28;35;39;5;0
NFNDW9766R;0;0;0;0;0;14
SUBTG4465W;165;133;121;102;100;52
TNAQZ6971G;69;68;66;54;48;0
TRVBJ7183U;4;4;3;0;0;0
OOZJX4610S;6;6;6;0;0;0
VKCUW6005W;14;7;6;0;0;0
BAHLV7542W;429;171;207;83;1328;13
BICVK0143J;334;150;254;38;1396;6
CHQAJ8517T;244;153;114;0;264;2
BDDKJ2718S;362;188;123;239;389;18
DVNEP6353I;37;31;25;22;22;303
XONYC6808M;37;27;5;1;0;0
JFFIH8554T;299;251;195;106;0;0
BVWZQ4527T;296;259;196;134;34;0
HGUQJ6495G;537;513;479;424;363;285
ZSJXP1778J;178;67;0;0;0;0
UJVMB1308P;597;588;576;549;440;372
IDWKQ3297Q;5;5;5;5;3;0
OXUZG7056Y;226;176;146;677;584;476
CTUSI1318L;360;830;648;531;387;64
NDSLQ9632I;496;6;0;0;0;0
XPLAZ8338C;11;11;11;11;11;11
WIYIA2166C;5559;3847;2791;1691;258;2
UVRPM1621K;6214;5092;4326;3044;1414;2222
TLBZD2653B;223;1135;660;1042;598;80
BYGLD8210V;49;22;10;4;56;1
OUWIT5106U;467;407;336;237;0;0
JQSKQ1819K;6;6;6;6;6;6
TLZZI4052R;0;0;301;157;5;269
JRXHE3353O;11;10;10;7;0;0
WYIHB4110I;1;1;0;0;0;0
XZLOV1101Q;10;9;8;7;0;0
OSYIN6475K;114;101;43;0;54;31
MXTFM5644K;108;96;64;46;260;222
RWOIF7238E;529;480;421;394;299;223
NWYTV0482G;619;156;0;0;989;812
KSSWI3940M;790;654;514;389;482;281
EDCEW7044F;558;379;298;199;777;679
RWGSP7881A;270;249;243;222;184;226
EGHJX4411Q;1;1;1;0;0;0
UVNGZ6076E;2;0;0;0;0;0
YASEG5100R;138;58;49;3;2;305
UUMGL0247O;4;0;0;0;0;0
KPUWF5783U;344;232;285;671;404;225
CYORY8650R;240;224;239;515;388;311
PPVBU1203Q;106;134;116;140;121;81
TDAOU6397Z;621;294;44;5;5;2
WABDG2809X;863;2904;1760;3322;2510;1294
MRUEM9028J;23;3349;2782;2138;1569;2021
FNOKE8380A;144;98;74;50;22;8
