Stock;янв.18;фев.18;мар.18;апр.18
UZOEW1886X;2109;1928;1311;815
XAFJT6358C;2082;1987;1721;1114
QCTQF5950P;252;198;108;11
NAMOI4794J;0;1672;1352;1047
LBYRK3210F;297;135;5;234
NGQUS1037E;540;155;0;365
DBLZM3983G;346;166;136;70
GJPAU9999K;4;4;4;4
RSBFE6732F;25;25;24;21
WWYOP5254B;28;27;19;13
GIIEM6451B;77;5;0;0
KEEFA2365D;2;11;6;6
CZXWI6254B;10;19;18;15
BOHWZ3761X;82;87;81;68
AKVXP8024D;418;374;343;240
TECOR4956T;2;0;4;1
EXNQO8141R;2;24;7;0
BJRCP5992Y;303;203;152;129
TZFPI5314M;182;141;91;79
NFNDW9766R;4;11;0;8
RNTTL5672R;1;1;0;0
SUBTG4465W;24;21;32;0
BAHLV7542W;1350;782;96;515
BICVK0143J;1389;1115;959;785
CHQAJ8517T;168;5;0;6
BDDKJ2718S;150;0;0;0
DVNEP6353I;261;183;103;39
XONYC6808M;0;36;36;26
BVWZQ4527T;0;38;28;4
HGUQJ6495G;259;243;210;145
ZSJXP1778J;0;26;4;6
UJVMB1308P;345;338;315;305
OXUZG7056Y;406;385;301;248
CTUSI1318L;16;10;0;0
XPLAZ8338C;11;11;11;1
WIYIA2166C;2;2;2;3
UVRPM1621K;1967;3734;3396;2939
TLBZD2653B;1;0;0;0
BYGLD8210V;1;2;598;584
OUWIT5106U;1;112;511;457
JQSKQ1819K;6;6;0;0
TLZZI4052R;217;169;46;1
OSYIN6475K;16;13;7;5
MXTFM5644K;204;186;186;294
RWOIF7238E;179;121;93;345
NWYTV0482G;716;599;532;1189
KSSWI3940M;195;68;0;0
EDCEW7044F;644;605;585;1349
RWGSP7881A;212;205;188;169
YASEG5100R;206;183;95;48
KPUWF5783U;71;267;130;220
CYORY8650R;267;251;214;155
PPVBU1203Q;75;69;52;32
TDAOU6397Z;2;4;1;1
WABDG2809X;1051;5724;5360;2719
MRUEM9028J;1716;3189;2655;2076
FNOKE8380A;6;6;6;6
AIAZI4473Q;2772;2600;2371;2054
XWHKF9965T;3001;2641;2230;1768
TKRZP9431G;0;15;15;1
QQQYQ3086C;11;19;12;3
MALXA1409D;0;2;445;434
HSPZO6268Y;48;2;182;100
NNJLS6904A;1511;1407;1308;1144
PXSVI8581K;2034;1925;1802;1724
GCSXA0189C;4;4;3;3
WMCBY7316E;2;917;819;636
HNBYV9602Z;2;2;2;2
REDCZ8656F;802;782;727;549
XTKEP6280F;300;334;313;291
CEPRU9192C;342;132;36;96
JBDXR1266U;159;1024;924;810
XZOBE6361B;1;833;743;694
OBCVI7265A;53;42;40;6
PXUKD4937E;19;115;100;96
JAMIQ3616W;5;0;0;0
DRDGH6817X;0;12;125;120
ZYURY8511D;0;14;14;8
ACQIR4088A;6;6;150;115
DYPTG4479D;0;5;5;1
UAEEM9752V;0;9;9;8
HGWRT0854F;543;284;91;329
RXUAW5727R;0;3;21;1
TAGMR1005Y;1;1;6;6
TUTDK7805V;2;2;2;1
PJYGH0748R;192;162;132;54
TNFGL6196Y;1586;1513;1378;1236
PGLSL3742U;135;54;4;0
RWBBH6311K;341;222;111;79
UPECP3215M;0;0;1;1
KTHMS0697X;2;1;1;1
LPAXM8491O;541;482;426;360
OQKIC5873M;339;218;112;10
KOPPW8098S;0;0;1;1
JHCKH6189A;20;18;17;13
DYESM6286I;5138;4663;3968;2333
GMZVR5022F;194;184;164;148
WOFYM1205P;62;62;0;0
GYWFG5619V;3;0;75;67
IMGPQ9671B;4;0;0;0
ADHDM4155G;349;111;4;4
TOZWG5908V;2;2;0;0
AVAIY0508R;0;5;11;9
ZEQKZ0260U;3;7;41;37
AWYTG5887A;3;2;0;0
PUOGD6008E;213;245;224;217
VFDDJ6215T;225;887;421;268
JRREN8634W;0;44;16;10
GQSFZ2277T;737;621;481;324
GUJAD7758G;1010;870;488;314
TAFRJ5634B;148;105;376;360
RZLTM8117F;0;3;0;0
KEKLI8217I;562;172;1;278
ZKJQJ7664B;255;218;192;141
IQZDY4978B;3;5;0;0
ZQSUK2624A;1229;1112;993;805
NYRMV0580R;739;632;386;111
KSDXG3996E;28;24;9;9
MJZIZ7509I;12;12;0;4
GCVUY4877W;0;3;0;0
LSQGV7991K;0;2;2;6
GCCDE8091I;0;6;0;0
JQXXD7080Z;503;432;379;341
ELMAI7546S;89;75;47;7
SARXE2003U;0;5;4;4
QNIGA6246W;625;692;666;645
GVVGH9558A;177;153;104;67
SQWCG1718H;490;440;338;249
FFPUX1034F;1139;1;1;3
CHKKD8085E;4;2;0;0
BXMMN4771W;97;85;51;0
SKMJH8241E;22;11;4;4
GOHGS2749P;498;378;217;50
WJMYK5294A;82;65;42;0
DRPSY4481F;518;9;3;4
HOVZG9924G;1;6;5;0
ZDTZC9904P;515;299;1284;811
MFVVH4160S;2;2;0;0
PKWIN9593K;290;278;267;258
EXAVX6092K;1420;1398;1388;1363
TODIB7377E;3;3;3;0
WVHGL7695Z;767;671;564;296
OIFUK7544L;830;787;752;725
PEQFV5436U;29;31;29;29
BVJQZ1144P;1;1;0;0
IPLWN1561C;0;11;11;11
VPUXP2251H;461;375;1536;1621
XQTIA3102B;1026;910;881;695
PCJYJ7760A;668;592;1252;1511
WBMDO4194K;442;401;359;655
OSAHU8746N;1643;1624;1019;786
